teacher_id,course_id,day,start_time,end_time,homeroom_id,school_id,grade_level
126,5,Monday,8:30,9:15,1,9,11
126,5,Tuesday,8:30,9:15,1,9,11
126,5,Wednesday,8:30,9:15,1,9,11
126,5,Thursday,8:30,9:15,1,9,11
126,5,Friday,8:30,9:15,1,9,11
168,8,Monday,9:25,10:10,1,9,11
168,8,Tuesday,9:25,10:10,1,9,11
168,8,Wednesday,9:25,10:10,1,9,11
168,8,Thursday,9:25,10:10,1,9,11
168,8,Friday,9:25,10:10,1,9,11
140,6,Monday,10:20,11:05,1,9,11
140,6,Tuesday,10:20,11:05,1,9,11
140,6,Wednesday,10:20,11:05,1,9,11
140,6,Thursday,10:20,11:05,1,9,11
140,6,Friday,10:20,11:05,1,9,11
126,1,Monday,11:15,12:00,1,9,11
126,1,Tuesday,11:15,12:00,1,9,11
126,1,Wednesday,11:15,12:00,1,9,11
126,1,Thursday,11:15,12:00,1,9,11
126,1,Friday,11:15,12:00,1,9,11
7,2,Monday,13:00,13:50,1,9,11
7,2,Tuesday,13:00,13:50,1,9,11
7,2,Wednesday,13:00,13:50,1,9,11
7,2,Thursday,13:00,13:50,1,9,11
7,2,Friday,13:00,13:50,1,9,11
126,4,Monday,14:00,14:45,1,9,11
126,4,Tuesday,14:00,14:45,1,9,11
126,4,Wednesday,14:00,14:45,1,9,11
126,4,Thursday,14:00,14:45,1,9,11
126,4,Friday,14:00,14:45,1,9,11
103,5,Monday,8:30,9:15,2,9,11
103,5,Tuesday,8:30,9:15,2,9,11
103,5,Wednesday,8:30,9:15,2,9,11
103,5,Thursday,8:30,9:15,2,9,11
103,5,Friday,8:30,9:15,2,9,11
47,8,Monday,9:25,10:10,2,9,11
47,8,Tuesday,9:25,10:10,2,9,11
47,8,Wednesday,9:25,10:10,2,9,11
47,8,Thursday,9:25,10:10,2,9,11
47,8,Friday,9:25,10:10,2,9,11
47,1,Monday,10:20,11:05,2,9,11
47,1,Tuesday,10:20,11:05,2,9,11
47,1,Wednesday,10:20,11:05,2,9,11
47,1,Thursday,10:20,11:05,2,9,11
47,1,Friday,10:20,11:05,2,9,11
43,2,Monday,11:15,12:00,2,9,11
43,2,Tuesday,11:15,12:00,2,9,11
43,2,Wednesday,11:15,12:00,2,9,11
43,2,Thursday,11:15,12:00,2,9,11
43,2,Friday,11:15,12:00,2,9,11
26,6,Monday,13:00,13:50,2,9,11
26,6,Tuesday,13:00,13:50,2,9,11
26,6,Wednesday,13:00,13:50,2,9,11
26,6,Thursday,13:00,13:50,2,9,11
26,6,Friday,13:00,13:50,2,9,11
103,4,Monday,14:00,14:45,2,9,11
103,4,Tuesday,14:00,14:45,2,9,11
103,4,Wednesday,14:00,14:45,2,9,11
103,4,Thursday,14:00,14:45,2,9,11
103,4,Friday,14:00,14:45,2,9,11
140,1,Monday,8:30,9:15,3,9,11
140,1,Tuesday,8:30,9:15,3,9,11
140,1,Wednesday,8:30,9:15,3,9,11
140,1,Thursday,8:30,9:15,3,9,11
140,1,Friday,8:30,9:15,3,9,11
140,6,Monday,9:25,10:10,3,9,11
140,6,Tuesday,9:25,10:10,3,9,11
140,6,Wednesday,9:25,10:10,3,9,11
140,6,Thursday,9:25,10:10,3,9,11
140,6,Friday,9:25,10:10,3,9,11
58,8,Monday,11:15,12:00,3,9,11
58,8,Tuesday,11:15,12:00,3,9,11
58,8,Wednesday,11:15,12:00,3,9,11
58,8,Thursday,11:15,12:00,3,9,11
58,8,Friday,11:15,12:00,3,9,11
114,2,Monday,13:00,13:50,3,9,11
114,2,Tuesday,13:00,13:50,3,9,11
114,2,Wednesday,13:00,13:50,3,9,11
114,2,Thursday,13:00,13:50,3,9,11
114,2,Friday,13:00,13:50,3,9,11
140,4,Monday,14:00,14:45,3,9,11
140,4,Tuesday,14:00,14:45,3,9,11
140,4,Wednesday,14:00,14:45,3,9,11
140,4,Thursday,14:00,14:45,3,9,11
140,4,Friday,14:00,14:45,3,9,11
128,7,Monday,8:30,9:15,4,9,11
128,7,Tuesday,8:30,9:15,4,9,11
128,7,Wednesday,8:30,9:15,4,9,11
128,7,Thursday,8:30,9:15,4,9,11
128,7,Friday,8:30,9:15,4,9,11
4,6,Monday,9:25,10:10,4,9,11
4,6,Tuesday,9:25,10:10,4,9,11
4,6,Wednesday,9:25,10:10,4,9,11
4,6,Thursday,9:25,10:10,4,9,11
4,6,Friday,9:25,10:10,4,9,11
128,4,Monday,10:20,11:05,4,9,11
128,4,Tuesday,10:20,11:05,4,9,11
128,4,Wednesday,10:20,11:05,4,9,11
128,4,Thursday,10:20,11:05,4,9,11
128,4,Friday,10:20,11:05,4,9,11
128,1,Monday,11:15,12:00,4,9,11
128,1,Tuesday,11:15,12:00,4,9,11
128,1,Wednesday,11:15,12:00,4,9,11
128,1,Thursday,11:15,12:00,4,9,11
128,1,Friday,11:15,12:00,4,9,11
58,5,Monday,13:00,13:50,4,9,11
58,5,Tuesday,13:00,13:50,4,9,11
58,5,Wednesday,13:00,13:50,4,9,11
58,5,Thursday,13:00,13:50,4,9,11
58,5,Friday,13:00,13:50,4,9,11
154,2,Monday,14:00,14:45,4,9,11
154,2,Tuesday,14:00,14:45,4,9,11
154,2,Wednesday,14:00,14:45,4,9,11
154,2,Thursday,14:00,14:45,4,9,11
154,2,Friday,14:00,14:45,4,9,11
153,1,Monday,8:30,9:15,5,9,11
153,1,Tuesday,8:30,9:15,5,9,11
153,1,Wednesday,8:30,9:15,5,9,11
153,1,Thursday,8:30,9:15,5,9,11
153,1,Friday,8:30,9:15,5,9,11
103,5,Monday,9:25,10:10,5,9,11
103,5,Tuesday,9:25,10:10,5,9,11
103,5,Wednesday,9:25,10:10,5,9,11
103,5,Thursday,9:25,10:10,5,9,11
103,5,Friday,9:25,10:10,5,9,11
153,6,Monday,10:20,11:05,5,9,11
153,6,Tuesday,10:20,11:05,5,9,11
153,6,Wednesday,10:20,11:05,5,9,11
153,6,Thursday,10:20,11:05,5,9,11
153,6,Friday,10:20,11:05,5,9,11
161,7,Monday,11:15,12:00,5,9,11
161,7,Tuesday,11:15,12:00,5,9,11
161,7,Wednesday,11:15,12:00,5,9,11
161,7,Thursday,11:15,12:00,5,9,11
161,7,Friday,11:15,12:00,5,9,11
200,8,Monday,13:00,13:50,5,9,11
200,8,Tuesday,13:00,13:50,5,9,11
200,8,Wednesday,13:00,13:50,5,9,11
200,8,Thursday,13:00,13:50,5,9,11
200,8,Friday,13:00,13:50,5,9,11
153,4,Monday,14:00,14:45,5,9,11
153,4,Tuesday,14:00,14:45,5,9,11
153,4,Wednesday,14:00,14:45,5,9,11
153,4,Thursday,14:00,14:45,5,9,11
153,4,Friday,14:00,14:45,5,9,11
75,7,Monday,8:30,9:15,1,9,10
75,7,Tuesday,8:30,9:15,1,9,10
