student_id,course_id,day,start_time,end_time
1,5,Monday,8:30,9:15
1,5,Tuesday,8:30,9:15
1,5,Wednesday,8:30,9:15
1,5,Thursday,8:30,9:15
1,5,Friday,8:30,9:15
1,8,Monday,9:25,10:10
1,8,Tuesday,9:25,10:10
1,8,Wednesday,9:25,10:10
1,8,Thursday,9:25,10:10
1,8,Friday,9:25,10:10
1,6,Monday,10:20,11:05
1,6,Tuesday,10:20,11:05
1,6,Wednesday,10:20,11:05
1,6,Thursday,10:20,11:05
1,6,Friday,10:20,11:05
1,1,Monday,11:15,12:00
1,1,Tuesday,11:15,12:00
1,1,Wednesday,11:15,12:00
1,1,Thursday,11:15,12:00
1,1,Friday,11:15,12:00
1,2,Monday,13:00,13:50
1,2,Tuesday,13:00,13:50
1,2,Wednesday,13:00,13:50
1,2,Thursday,13:00,13:50
1,2,Friday,13:00,13:50
1,4,Monday,14:00,14:45
1,4,Tuesday,14:00,14:45
1,4,Wednesday,14:00,14:45
1,4,Thursday,14:00,14:45
1,4,Friday,14:00,14:45
75,5,Monday,8:30,9:15
75,5,Tuesday,8:30,9:15
75,5,Wednesday,8:30,9:15
75,5,Thursday,8:30,9:15
75,5,Friday,8:30,9:15
75,8,Monday,9:25,10:10
75,8,Tuesday,9:25,10:10
75,8,Wednesday,9:25,10:10
75,8,Thursday,9:25,10:10
75,8,Friday,9:25,10:10
75,6,Monday,10:20,11:05
75,6,Tuesday,10:20,11:05
75,6,Wednesday,10:20,11:05
75,6,Thursday,10:20,11:05
75,6,Friday,10:20,11:05
75,1,Monday,11:15,12:00
75,1,Tuesday,11:15,12:00
75,1,Wednesday,11:15,12:00
75,1,Thursday,11:15,12:00
75,1,Friday,11:15,12:00
75,2,Monday,13:00,13:50
75,2,Tuesday,13:00,13:50
75,2,Wednesday,13:00,13:50
75,2,Thursday,13:00,13:50
75,2,Friday,13:00,13:50
75,4,Monday,14:00,14:45
75,4,Tuesday,14:00,14:45
75,4,Wednesday,14:00,14:45
75,4,Thursday,14:00,14:45
75,4,Friday,14:00,14:45
117,5,Monday,8:30,9:15
117,5,Tuesday,8:30,9:15
117,5,Wednesday,8:30,9:15
117,5,Thursday,8:30,9:15
117,5,Friday,8:30,9:15
117,8,Monday,9:25,10:10
117,8,Tuesday,9:25,10:10
117,8,Wednesday,9:25,10:10
117,8,Thursday,9:25,10:10
117,8,Friday,9:25,10:10
117,6,Monday,10:20,11:05
117,6,Tuesday,10:20,11:05
117,6,Wednesday,10:20,11:05
117,6,Thursday,10:20,11:05
117,6,Friday,10:20,11:05
117,1,Monday,11:15,12:00
117,1,Tuesday,11:15,12:00
117,1,Wednesday,11:15,12:00
117,1,Thursday,11:15,12:00
117,1,Friday,11:15,12:00
117,2,Monday,13:00,13:50
117,2,Tuesday,13:00,13:50
117,2,Wednesday,13:00,13:50
117,2,Thursday,13:00,13:50
117,2,Friday,13:00,13:50
117,4,Monday,14:00,14:45
117,4,Tuesday,14:00,14:45
117,4,Wednesday,14:00,14:45
117,4,Thursday,14:00,14:45
117,4,Friday,14:00,14:45
156,5,Monday,8:30,9:15
156,5,Tuesday,8:30,9:15
156,5,Wednesday,8:30,9:15
156,5,Thursday,8:30,9:15
156,5,Friday,8:30,9:15
156,8,Monday,9:25,10:10
156,8,Tuesday,9:25,10:10
156,8,Wednesday,9:25,10:10
156,8,Thursday,9:25,10:10
156,8,Friday,9:25,10:10
156,6,Monday,10:20,11:05
156,6,Tuesday,10:20,11:05
156,6,Wednesday,10:20,11:05
156,6,Thursday,10:20,11:05
156,6,Friday,10:20,11:05
156,1,Monday,11:15,12:00
156,1,Tuesday,11:15,12:00
156,1,Wednesday,11:15,12:00
156,1,Thursday,11:15,12:00
156,1,Friday,11:15,12:00
156,2,Monday,13:00,13:50
156,2,Tuesday,13:00,13:50
156,2,Wednesday,13:00,13:50
156,2,Thursday,13:00,13:50
156,2,Friday,13:00,13:50
156,4,Monday,14:00,14:45
156,4,Tuesday,14:00,14:45
156,4,Wednesday,14:00,14:45
156,4,Thursday,14:00,14:45
156,4,Friday,14:00,14:45
159,5,Monday,8:30,9:15
159,5,Tuesday,8:30,9:15
159,5,Wednesday,8:30,9:15
159,5,Thursday,8:30,9:15
159,5,Friday,8:30,9:15
159,8,Monday,9:25,10:10
159,8,Tuesday,9:25,10:10
159,8,Wednesday,9:25,10:10
159,8,Thursday,9:25,10:10
159,8,Friday,9:25,10:10
159,6,Monday,10:20,11:05
159,6,Tuesday,10:20,11:05
159,6,Wednesday,10:20,11:05
159,6,Thursday,10:20,11:05
159,6,Friday,10:20,11:05
159,1,Monday,11:15,12:00
159,1,Tuesday,11:15,12:00
159,1,Wednesday,11:15,12:00
159,1,Thursday,11:15,12:00
159,1,Friday,11:15,12:00
159,2,Monday,13:00,13:50
159,2,Tuesday,13:00,13:50
159,2,Wednesday,13:00,13:50
159,2,Thursday,13:00,13:50
